"","sta_id_s","sta_id_t","alt_min","alt_max","alt_mean","alt_med","alt_sumdabsdiff","alt_sumposdiff"
"1",1,2,585.208227328743,589.303869416519,587.256048372631,587.256048372631,4.09564208777579,0
"2",2,3,635.128370630257,649.95727081488,642.542820722569,642.542820722569,14.8289001846232,14.8289001846232
"3",3,4,127.137059709493,1335.27876624303,626.183902275855,488.564017980063,2750.76722455041,1186.1873445192
"4",4,5,-33.0318927905755,1651.98810345032,374.022042836539,336.856037187949,7191.37453175048,4428.47431063661
"5",5,6,-13.9234961878172,279.98946289472,143.58175809881,153.217514393466,659.537165435245,276.181966994602
"6",6,7,-46.9762103980846,48.9367567234532,-11.9148675551211,-37.7051489907321,105.18402852889,9.27106140735248
"7",7,8,-10.8427547598823,81.9090184943981,26.9746542864338,18.4161767056096,150.283852537533,57.5320792832529
"8",8,9,-51.9149485204582,0.933085423790658,-27.4210046491774,-31.2811508508647,52.8480339442489,52.8480339442489
"9",9,10,-57.1603839501027,-25.1680095108232,-46.1867354936274,-56.2318130199562,63.0561779484125,31.9923744392795
"10",10,11,-45.8483027160037,-32.1507928100257,-40.1576623270786,-42.4738914552063,24.0206085511587,13.697509905978
"11",11,12,-36.3326897294058,27.4477719721992,3.95107237736961,8.09434536624036,170.550234780607,93.892417134981
"12",12,13,127.205018891471,1060.07848165877,638.567481195279,696.305933608749,4930.22040895796,2702.32600612877
"13",13,14,60.2284655807407,325.616806478601,203.949524831233,201.289953323155,634.82334773567,436.580049849196
"14",14,15,204.12377940163,870.177590892312,685.244685019416,754.554557047686,2734.25136514154,1627.10556723178
"15",15,16,534.979423803222,1219.2181428063,769.309556820214,594.863050219254,1083.11010340808,398.871384404997
"16",16,17,562.251396205341,562.251396205341,562.251396205341,562.251396205341,0,0
