"","sta_id_s","sta_id_t","alt_min","alt_max","alt_mean","alt_med","alt_sumdabsdiff","alt_sumposdiff"
"1",1,2,118.737222726805,1615.44057662429,599.369054774012,417.282122371615,3391.88593952175,1521.6713662293
"2",2,3,2.50249208324145,365.952656396268,61.7710745797605,32.6294542691923,1275.62606667539,710.288177982818
"3",3,4,77.0500945290816,724.763063619034,264.973769792782,207.558950102117,3132.69526533003,1796.47419417801
"4",4,5,6.80958989008672,293.009106104412,134.243204814992,121.468597639599,791.800832053228,346.018500318259
"5",5,6,50.090506851537,1327.96337075432,525.674497984036,419.798276017484,4451.72619509898,2065.66615073093
"6",6,7,109.196890818104,668.61997469945,319.601773127309,255.416625143777,1566.46752444672,767.7757178094
"7",7,8,439.503773937254,1540.77753161304,952.015660241003,819.082673314336,3725.57604593113,2323.11067398623
"8",8,9,582.465560706556,1110.64726466982,784.11436628567,748.165754170871,688.877273794276,80.3477849155068
"9",9,10,559.328641787172,559.328641787172,559.328641787172,559.328641787172,0,0
