"","sta_id_s","sta_id_t","alt_min","alt_max","alt_mean","alt_med","alt_sumdabsdiff","alt_sumposdiff"
"1",1,2,23.7120435164373,715.021665603914,252.333050618067,196.858440088869,7665.39176365357,3689.27558015625
"2",2,3,40.917785488838,455.553643740168,172.020992296747,143.096867418672,1181.80666523195,495.381130828317
"3",3,4,142.309999269049,973.660332831563,328.585151439685,208.691934109961,1706.63045674485,785.411182681292
"4",4,5,89.3463774517482,248.393609523787,176.319146350577,201.84817801989,528.869273747152,262.808594962636
"5",5,6,37.9603705910893,292.3668592237,144.960932125432,130.976376343863,539.414414156981,350.402448518409
"6",6,7,20.9112829573341,846.13739055846,459.382536558635,444.399947883037,4034.32356750728,1925.12158862958
"7",7,8,340.943134403452,789.690562694019,626.5676757504,702.449686337007,772.435692284694,242.651678170763
"8",8,9,209.138682677306,968.029956978865,592.366493802445,596.148667776804,1342.54721266679,583.655938365234
"9",9,10,43.485610353878,880.645773093648,546.221483691879,599.960261525662,2717.61970460492,1055.14088510387
"10",10,11,14.1197987488059,14.1197987488059,14.1197987488059,14.1197987488059,0,0
