"","sta_id_s","sta_id_t","alt_min","alt_max","alt_mean","alt_med","alt_sumdabsdiff","alt_sumposdiff"
"1",1,2,74.5736964121924,1810.06190924517,658.200163555713,450.241575920265,3219.78453184813,1253.28928937362
"2",2,3,24.3506162352812,533.73466224936,143.749448896678,167.533442928723,1254.06153953324,771.153060841009
"3",3,4,7.61976388429493,287.421551657681,73.8110620628143,25.8754123691583,439.683532345045,116.968780794805
"4",4,5,-42.0925894491868,46.7678277792303,-9.51533283159174,-33.2212368248187,97.7317698527853,88.8604172284171
"5",5,6,12.6879314881901,425.821212883571,139.990271644252,74.5644802342272,1742.81646607839,983.678119127624
"6",6,7,165.497982133751,844.864251746709,410.648031717313,328.960789845558,1902.51671369907,846.221662513998
"7",7,8,239.591465515507,673.500705468904,421.503415443528,419.839507922239,1254.36004596983,576.624212881845
"8",8,9,313.855536769735,992.313254774984,658.531218749611,629.803663057373,840.625500511896,743.145268586844
"9",9,10,595.860617235552,1010.52976100168,786.166010283892,769.136831449169,435.682566531491,21.0134227653662
"10",10,11,646.190406515369,993.676404349765,849.705207257777,886.124642490475,455.037759693686,107.551761859289
"11",11,12,438.356979037346,438.356979037346,438.356979037346,438.356979037346,0,0
