"","sta_id_s","sta_id_t","alt_min","alt_max","alt_mean","alt_med","alt_sumdabsdiff","alt_sumposdiff"
"1",1,2,199.201573477395,1132.36796249628,493.426588249201,363.558706718145,2906.89378317609,1392.94205823783
"2",2,3,51.5682392911214,1225.90782707395,418.726799198744,364.906867854537,9628.05821173293,4694.33620960146
"3",3,4,46.4081860246771,88.2228092610012,60.9547642993019,59.1688948649065,87.8705519783919,27.8393763633204
"4",4,5,146.322105390314,1169.63875721327,723.941759922828,750.881498007791,4272.27360761015,2463.21647563621
"5",5,6,277.950196958003,938.958441757899,553.769956938928,532.645701753554,1518.48141713908,701.216792763606
"6",6,7,183.08339583181,741.135033163141,301.232380261311,225.908581193031,1199.22233849774,589.865588137819
"7",7,8,154.932933434031,507.414154678512,231.125248020382,165.738625869012,708.93597465448,361.021795772258
"8",9,10,217.012831251443,1144.32983418409,471.49042788162,300.475619317833,2785.00841226095,1154.12547980798
"9",10,11,131.246672889445,131.246672889445,131.246672889445,131.246672889445,0,0
