"","sta_id_s","sta_id_t","alt_min","alt_max","alt_mean","alt_med","alt_sumdabsdiff","alt_sumposdiff"
"1",1,2,880.50312042652,1836.52766016837,1328.25726130732,1307.38397378887,2667.44130348461,1529.32931383752
"2",2,3,356.219916511243,1079.85371132451,614.306003358265,565.356163530559,2186.89399305876,965.389854577569
"3",3,4,87.6390540018806,1290.34022964691,548.132232610316,243.522942176637,2332.86760778297,1699.79114155261
"4",4,5,18.3158333465227,838.022055141287,330.459416570091,303.789224998981,2452.14407214262,1465.25475796869
"5",5,6,76.5440932983365,239.614554587336,182.57035328446,195.808485941786,318.178045813626,126.18494640367
"6",6,7,44.2519445422074,929.393184175971,443.049773313532,488.905717910512,4474.17777831459,2475.19807644632
"7",7,8,103.120922062842,276.750020378043,187.772403827844,186.02302513779,293.348777822642,119.719679507441
"8",8,9,141.987906953608,347.226369088653,234.42686475407,220.016499223655,558.33000885297,332.459815950699
"9",9,10,152.384157162429,205.82869832351,184.336845485297,194.797680969952,53.4445411610812,0
"10",10,11,241.362491331074,1241.80539843413,659.33258868324,678.051958269143,1973.04018435732,1224.32540441959
"11",11,12,629.584264505654,629.584264505654,629.584264505654,629.584264505654,0,0
