"","x"
"1",1328.25726130732
"2",614.306003358265
"3",548.132232610316
"4",330.459416570091
"5",182.57035328446
"6",443.049773313532
"7",187.772403827844
"8",234.42686475407
"9",184.336845485297
"10",659.33258868324
"11",629.584264505654
