"","sta_id_s","sta_id_t","alt_min","alt_max","alt_mean","alt_med","alt_sumdabsdiff","alt_sumposdiff"
"1",1,2,60.8771152114249,1673.44570562252,469.799916628013,400.660017300612,5788.04363833888,3605.01886905178
"2",2,3,145.581797032493,959.046155598259,318.897137150561,234.916686362233,1989.9212374372,1035.88650198021
"3",3,4,50.047852098144,867.61617647161,450.026087212886,396.763568790447,6227.96181394116,2999.20402762954
"4",4,5,5.60044178476824,1488.73659664478,423.889489030322,128.250831819548,2570.32785593672,1901.00455890535
"5",5,6,-29.1466390584924,1990.21250966802,978.815817392746,1051.39899913746,7903.49147085642,4778.83861923413
"6",6,7,27.4829215876874,1035.81282316723,295.790126922557,134.387087912257,2019.83222912362,823.944609387072
"7",7,8,-37.915560841631,-37.915560841631,-37.915560841631,-37.915560841631,0,0
