"","sta_id_s","sta_id_t","alt_min","alt_max","alt_mean","alt_med","alt_sumdabsdiff","alt_sumposdiff"
"1",1,2,-12.7471782200036,1603.0150571785,532.733697768964,391.2730832511,11726.3302154114,5807.80552091634
"2",3,4,-13.9138235647649,348.778714467792,157.691821148781,138.210572543315,362.692538032557,362.692538032557
"3",4,5,61.2392476662627,393.337602026297,235.380985013004,239.54068798729,727.986284290752,429.734777648441
"4",5,6,-227.755708262313,2340.76460046239,1061.90468905208,848.871867418146,12943.5722802462,6977.97705063128
"5",6,7,34.2827444351941,290.668892169261,168.90045200152,167.694303333985,1012.36535210151,523.512971119505
"6",7,8,68.8954714489851,926.984205841879,308.546731656188,139.378621476781,1404.22319008715,455.713581725064
"7",8,9,88.3526630386457,367.039771987834,175.011614517247,122.327011521254,302.437386767423,11.8751389091175
"8",9,10,93.7609428633923,158.547330483687,119.260391811891,105.472902088593,64.7863876202946,0
"9",10,11,85.8200019068253,382.490447759892,143.110681668695,106.788925512236,331.019738625923,28.5108394260402
"10",11,12,21.8135661060014,21.8135661060014,21.8135661060014,21.8135661060014,0,0
