"","sta_id_s","sta_id_t","alt_min","alt_max","alt_mean","alt_med","alt_sumdabsdiff","alt_sumposdiff"
"1",1,2,116.820240026848,1557.66675056087,676.618885612488,638.953992634402,7961.68277478472,4066.00555807214
"2",2,3,-59.8409240130985,201.341677202265,23.5482699750948,7.10708407772178,489.891199778112,156.635516830543
"3",3,4,11.3470056622751,238.273254479759,110.016376774795,105.1627360225,375.122573224811,226.926248817484
"4",4,5,159.020106784085,311.709869080285,228.941805380704,216.095440277743,248.304191098742,152.6897622962
"5",5,6,119.185782188626,175.702636849492,137.326541974408,132.396586843061,109.969744857619,56.5168546608661
"6",6,7,-30.6941911015088,1507.12597648772,354.516068184863,33.0481191794731,3067.83037279744,1340.50859385588
"7",7,8,44.650340026704,1091.47890858342,418.333295332354,88.5415776508927,1259.95196727975,194.984404940905
"8",8,9,117.086385261426,1108.28781668578,556.861725914561,437.575306281636,1701.99648683732,710.795055412965
"9",9,10,151.447670267321,723.818470913386,440.498806113462,540.556602349421,1088.33467265519,515.963872009122
"10",10,11,133.657903606667,274.294014296754,188.742325527295,173.508692102879,310.461915153274,140.636110690088
"11",11,12,96.4119173650386,285.276913600535,206.904853118764,212.012302522715,777.020145134269,332.3598485027
"12",12,13,389.724871802748,878.7153231271,592.123222195695,592.335021058693,1469.58699461599,770.855500488457
"13",13,14,626.621167721966,626.621167721966,626.621167721966,626.621167721966,0,0
