DD/MM/YYYY HH:MM:SS,T('C),P(Pa)
15/06/2021 17:19:12,36.907,94890.494
15/06/2021 17:49:12,49.355,94788.26
15/06/2021 18:19:12,36.029,94871.325
15/06/2021 18:49:12,37.522,94867.769
15/06/2021 19:19:12,37.402,94830.375
15/06/2021 19:49:12,37.281,94830.875
15/06/2021 20:19:12,37.342,94836.632
15/06/2021 20:49:12,37.523,94849.112
15/06/2021 21:19:12,36.191,94823.59
15/06/2021 21:49:12,36.968,94796.955
15/06/2021 22:19:12,36.518,94800.367
15/06/2021 22:49:12,36.677,94775.945
15/06/2021 23:19:12,37.017,94800.136
15/06/2021 23:49:12,36.846,94839.809
16/06/2021 00:19:12,36.697,94872.199
16/06/2021 00:49:12,34.071,94802.565
16/06/2021 01:19:12,33.192,94823.947
16/06/2021 01:49:12,33.018,94865.271
16/06/2021 02:19:12,32.53,94903.161
16/06/2021 02:49:12,31.803,94910.167
16/06/2021 03:19:12,31.691,94925.429
16/06/2021 03:49:12,31.475,94942.576
16/06/2021 04:19:12,31.55,94934.806
16/06/2021 04:49:12,31.554,94934.423
16/06/2021 05:19:12,31.899,94940.955
16/06/2021 05:49:12,31.346,94932.897
16/06/2021 06:19:12,31.543,94908.074
16/06/2021 06:49:12,32.032,94899.961
16/06/2021 07:19:12,31.048,94902.314
16/06/2021 07:49:12,31.349,94882.149
16/06/2021 08:19:12,31.414,94880.479
16/06/2021 08:49:12,31.838,94898.115
16/06/2021 09:19:12,31.735,94894.531
16/06/2021 09:49:12,32.392,94917.851
16/06/2021 10:19:12,32.776,94950.126
16/06/2021 10:49:12,34.302,95041.746
16/06/2021 11:19:12,32.632,95052.426
16/06/2021 11:49:12,35.66,95048.382
16/06/2021 12:19:12,30.211,95019.414
16/06/2021 12:49:12,35.949,95091.44
16/06/2021 13:19:12,33.731,95043.032
16/06/2021 13:49:12,31.33,95023.262
16/06/2021 14:19:12,36.194,95133.985
16/06/2021 14:49:12,38.423,95053.219
16/06/2021 15:19:12,37.132,95110.227
16/06/2021 15:49:12,35.835,95083.833
16/06/2021 16:19:12,34.766,94884.473
16/06/2021 16:49:12,35.988,95011.235
16/06/2021 17:19:12,37.257,95008.6
16/06/2021 17:49:12,37.822,95047.261
16/06/2021 18:19:12,36.876,94995.177
16/06/2021 18:49:12,37.322,94962.976
16/06/2021 19:19:12,37.461,94937.769
16/06/2021 19:49:12,36.996,94810.063
16/06/2021 20:19:12,36.084,95021.329
16/06/2021 20:49:12,36.296,94997.878
16/06/2021 21:19:12,36.841,94959.286
16/06/2021 21:49:12,37.269,94987.582
16/06/2021 22:19:12,36.841,95005.453
16/06/2021 22:49:12,36.617,95002.678
16/06/2021 23:19:12,33.259,94913.919
16/06/2021 23:49:12,34.953,94909.382
17/06/2021 00:19:12,30.332,94771.2
17/06/2021 00:49:12,31.008,95001.062
17/06/2021 01:19:12,33.509,95048.628
